Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
"playerID, year, stint, W, L, SA",1.0000,1.0000,0.0020
"playerID, year, stint, W, L, GA",1.0000,1.0000,0.0020
"playerID, year, stint, W, SA, GA",1.0000,1.0000,0.0020
"playerID, year, stint, L, SA, GA",1.0000,1.0000,0.0020
"playerID, year, tmID, W, L, SA",1.0000,1.0000,0.0030
"playerID, year, tmID, W, L, GA",1.0000,1.0000,0.0030
"playerID, year, tmID, W, SA, GA",1.0000,1.0000,0.0020
"playerID, year, tmID, L, SA, GA",1.0000,1.0000,0.0030
"playerID, year, W, L, SA, GA",0.9958,1.0000,0.0020
"playerID, stint, tmID, W, L, SA",1.0000,1.0000,0.0030
"playerID, stint, tmID, W, L, GA",0.9917,1.0000,0.0040
"playerID, stint, tmID, W, SA, GA",0.9958,1.0000,0.0030
"playerID, stint, tmID, L, SA, GA",0.9958,1.0000,0.0050
"playerID, stint, W, L, SA, GA",1.0000,1.0000,0.0030
"playerID, tmID, W, L, SA, GA",1.0000,1.0000,0.0020
"year, stint, tmID, W, L, SA",0.9917,1.0000,0.0020
"year, stint, tmID, W, L, GA",0.9833,1.0000,0.0020
"year, stint, tmID, W, SA, GA",0.9958,1.0000,0.0030
"year, stint, tmID, L, SA, GA",0.9917,1.0000,0.0020
"year, stint, W, L, SA, GA",0.8667,1.0000,0.0010
"year, tmID, W, L, SA, GA",0.9917,1.0000,0.0020
"stint, tmID, W, L, SA, GA",0.9792,1.0000,0.0010
"playerID, year, stint, tmID, W, L, SA",1.0000,1.0000,0.0030
"playerID, year, stint, tmID, W, L, GA",1.0000,1.0000,0.0020
"playerID, year, stint, tmID, W, SA, GA",1.0000,1.0000,0.0020
"playerID, year, stint, tmID, L, SA, GA",1.0000,1.0000,0.0020
"playerID, year, stint, W, L, SA, GA",1.0000,1.0000,0.0020
"playerID, year, tmID, W, L, SA, GA",1.0000,1.0000,0.0030
"playerID, stint, tmID, W, L, SA, GA",1.0000,1.0000,0.0020
"year, stint, tmID, W, L, SA, GA",0.9958,1.0000,0.0030
"playerID, year, stint, tmID, W, L, SA, GA",1.0000,1.0000,0.0020
