Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
"name, lgID, divID, GF",0.9355,0.7709,0.0040
"name, lgID, divID, rank",0.3634,0.7709,0.0040
"name, lgID, GF, rank",0.9677,1.0000,0.0040
"name, franchID, playoff, confID",0.6794,0.3766,0.0030
"name, franchID, playoff, divID",0.6116,0.4885,0.0030
"name, franchID, playoff, GF",0.9803,0.6162,0.0040
"name, franchID, playoff, rank",0.6090,0.6162,0.0030
"name, franchID, confID, divID",0.4101,0.5938,0.0030
"name, franchID, confID, GF",0.9408,0.5938,0.0040
"name, franchID, confID, rank",0.4602,0.5938,0.0040
"name, franchID, divID, GF",0.9355,0.7709,0.0050
"name, franchID, divID, rank",0.3634,0.7709,0.0040
"name, franchID, GF, rank",0.9664,1.0000,0.0050
"name, playoff, confID, divID",0.6912,0.3766,0.0030
"name, playoff, confID, GF",0.9921,0.3766,0.0040
"name, playoff, confID, rank",0.7847,0.3766,0.0030
"name, playoff, divID, GF",0.9908,0.4885,0.0040
"name, playoff, divID, rank",0.7544,0.4885,0.0040
"name, playoff, GF, rank",0.9921,0.6162,0.0030
"name, confID, divID, GF",0.9487,0.5938,0.0030
"name, confID, divID, rank",0.4779,0.5938,0.0030
"name, confID, GF, rank",0.9862,0.5938,0.0040
"name, divID, GF, rank",0.9822,0.7709,0.0040
"lgID, franchID, playoff, confID",0.6768,0.3766,0.0030
"lgID, franchID, playoff, divID",0.6076,0.4885,0.0030
"lgID, franchID, playoff, GF",0.9789,0.6162,0.0040
"lgID, franchID, playoff, rank",0.5971,0.6162,0.0040
"lgID, franchID, confID, divID",0.4082,0.5938,0.0040
"lgID, franchID, confID, GF",0.9381,0.5938,0.0040
"lgID, franchID, confID, rank",0.4549,0.5938,0.0030
"lgID, franchID, divID, GF",0.9315,0.7709,0.0030
"lgID, franchID, divID, rank",0.3496,0.7709,0.0030
"lgID, franchID, GF, rank",0.9625,1.0000,0.0040
"lgID, playoff, confID, divID",0.6261,0.3766,0.0030
"lgID, playoff, confID, GF",0.9019,0.3766,0.0030
"lgID, playoff, confID, rank",0.6300,0.3766,0.0030
"lgID, playoff, divID, GF",0.9388,0.4885,0.0030
"lgID, playoff, divID, rank",0.5609,0.4885,0.0030
"lgID, playoff, GF, rank",0.9171,0.6162,0.0040
"lgID, confID, divID, GF",0.7419,0.5938,0.0030
"lgID, confID, divID, rank",0.4068,0.5938,0.0030
"lgID, confID, GF, rank",0.8275,0.5938,0.0030
"lgID, divID, GF, rank",0.9138,0.7709,0.0030
"franchID, playoff, confID, divID",0.6886,0.3766,0.0030
"franchID, playoff, confID, GF",0.9908,0.3766,0.0030
"franchID, playoff, confID, rank",0.7801,0.3766,0.0030
"franchID, playoff, divID, GF",0.9895,0.4885,0.0030
"franchID, playoff, divID, rank",0.7485,0.4885,0.0040
"franchID, playoff, GF, rank",0.9908,0.6162,0.0040
"franchID, confID, divID, GF",0.9460,0.5938,0.0040
"franchID, confID, divID, rank",0.4720,0.5938,0.0030
"franchID, confID, GF, rank",0.9849,0.5938,0.0040
"franchID, divID, GF, rank",0.9809,0.7709,0.0040
"playoff, confID, divID, GF",0.9454,0.3766,0.0030
"playoff, confID, divID, rank",0.6583,0.3766,0.0030
"playoff, confID, GF, rank",0.9691,0.3766,0.0030
"playoff, divID, GF, rank",0.9796,0.4885,0.0030
"confID, divID, GF, rank",0.9315,0.5938,0.0030
"year, tmID, name, lgID, franchID",1.0000,1.0000,0.0050
"year, tmID, name, lgID, playoff",1.0000,0.6162,0.0040
"year, tmID, name, lgID, confID",1.0000,0.5938,0.0040
"year, tmID, name, lgID, divID",1.0000,0.7709,0.0040
"year, tmID, name, lgID, GF",1.0000,1.0000,0.0050
"year, tmID, name, lgID, rank",1.0000,1.0000,0.0050
"year, tmID, name, franchID, playoff",1.0000,0.6162,0.0040
"year, tmID, name, franchID, confID",1.0000,0.5938,0.0040
"year, tmID, name, franchID, divID",1.0000,0.7709,0.0040
