Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
"month, oppID, R/P, IDgoalie2",1.0000,1.0000,0.0009
"month, oppID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"month, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"date, tmID, oppID, R/P",1.0000,1.0000,0.0010
"date, tmID, oppID, IDgoalie1",1.0000,1.0000,0.0010
"date, tmID, oppID, IDgoalie2",1.0000,1.0000,0.0010
"date, tmID, R/P, IDgoalie1",1.0000,1.0000,0.0010
"date, tmID, R/P, IDgoalie2",1.0000,1.0000,0.0010
"date, tmID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"date, oppID, R/P, IDgoalie1",1.0000,1.0000,0.0010
"date, oppID, R/P, IDgoalie2",1.0000,1.0000,0.0010
"date, oppID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"date, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"tmID, oppID, R/P, IDgoalie1",0.9630,1.0000,0.0010
"tmID, oppID, R/P, IDgoalie2",1.0000,1.0000,0.0000
"tmID, oppID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"tmID, R/P, IDgoalie1, IDgoalie2",0.9259,1.0000,0.0010
"oppID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"year, month, date, tmID, oppID",1.0000,1.0000,0.0010
"year, month, date, tmID, R/P",1.0000,1.0000,0.0000
"year, month, date, tmID, IDgoalie1",1.0000,1.0000,0.0000
"year, month, date, tmID, IDgoalie2",1.0000,1.0000,0.0010
"year, month, date, oppID, R/P",1.0000,1.0000,0.0010
"year, month, date, oppID, IDgoalie1",1.0000,1.0000,0.0010
"year, month, date, oppID, IDgoalie2",1.0000,1.0000,0.0000
"year, month, date, R/P, IDgoalie1",1.0000,1.0000,0.0000
"year, month, date, R/P, IDgoalie2",1.0000,1.0000,0.0000
"year, month, date, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0000
"year, month, tmID, oppID, R/P",1.0000,1.0000,0.0000
"year, month, tmID, oppID, IDgoalie1",1.0000,1.0000,0.0010
"year, month, tmID, oppID, IDgoalie2",1.0000,1.0000,0.0010
"year, month, tmID, R/P, IDgoalie1",1.0000,1.0000,0.0000
"year, month, tmID, R/P, IDgoalie2",1.0000,1.0000,0.0000
"year, month, tmID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0000
"year, month, oppID, R/P, IDgoalie1",1.0000,1.0000,0.0000
"year, month, oppID, R/P, IDgoalie2",1.0000,1.0000,0.0000
"year, month, oppID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"year, month, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0000
"year, date, tmID, oppID, R/P",1.0000,1.0000,0.0000
"year, date, tmID, oppID, IDgoalie1",1.0000,1.0000,0.0010
"year, date, tmID, oppID, IDgoalie2",1.0000,1.0000,0.0010
"year, date, tmID, R/P, IDgoalie1",1.0000,1.0000,0.0010
"year, date, tmID, R/P, IDgoalie2",1.0000,1.0000,0.0010
"year, date, tmID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"year, date, oppID, R/P, IDgoalie1",1.0000,1.0000,0.0010
"year, date, oppID, R/P, IDgoalie2",1.0000,1.0000,0.0010
"year, date, oppID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0000
"year, date, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"year, tmID, oppID, R/P, IDgoalie1",1.0000,1.0000,0.0010
"year, tmID, oppID, R/P, IDgoalie2",1.0000,1.0000,0.0020
"year, tmID, oppID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"year, tmID, R/P, IDgoalie1, IDgoalie2",0.9259,1.0000,0.0000
"year, oppID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0000
"month, date, tmID, oppID, R/P",1.0000,1.0000,0.0010
"month, date, tmID, oppID, IDgoalie1",1.0000,1.0000,0.0010
"month, date, tmID, oppID, IDgoalie2",1.0000,1.0000,0.0000
"month, date, tmID, R/P, IDgoalie1",1.0000,1.0000,0.0000
"month, date, tmID, R/P, IDgoalie2",1.0000,1.0000,0.0010
"month, date, tmID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"month, date, oppID, R/P, IDgoalie1",1.0000,1.0000,0.0010
"month, date, oppID, R/P, IDgoalie2",1.0000,1.0000,0.0000
"month, date, oppID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0000
"month, date, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0000
"month, tmID, oppID, R/P, IDgoalie1",1.0000,1.0000,0.0000
"month, tmID, oppID, R/P, IDgoalie2",1.0000,1.0000,0.0000
"month, tmID, oppID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0000
"month, tmID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0000
"month, oppID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0000
"date, tmID, oppID, R/P, IDgoalie1",1.0000,1.0000,0.0000
"date, tmID, oppID, R/P, IDgoalie2",1.0000,1.0000,0.0000
"date, tmID, oppID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0000
"date, tmID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0000
"date, oppID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"tmID, oppID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"year, month, date, tmID, oppID, R/P",1.0000,1.0000,0.0010
"year, month, date, tmID, oppID, IDgoalie1",1.0000,1.0000,0.0010
"year, month, date, tmID, oppID, IDgoalie2",1.0000,1.0000,0.0010
"year, month, date, tmID, R/P, IDgoalie1",1.0000,1.0000,0.0010
"year, month, date, tmID, R/P, IDgoalie2",1.0000,1.0000,0.0010
"year, month, date, tmID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"year, month, date, oppID, R/P, IDgoalie1",1.0000,1.0000,0.0010
"year, month, date, oppID, R/P, IDgoalie2",1.0000,1.0000,0.0010
"year, month, date, oppID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"year, month, date, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"year, month, tmID, oppID, R/P, IDgoalie1",1.0000,1.0000,0.0010
"year, month, tmID, oppID, R/P, IDgoalie2",1.0000,1.0000,0.0010
"year, month, tmID, oppID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"year, month, tmID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"year, month, oppID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"year, date, tmID, oppID, R/P, IDgoalie1",1.0000,1.0000,0.0010
"year, date, tmID, oppID, R/P, IDgoalie2",1.0000,1.0000,0.0010
"year, date, tmID, oppID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"year, date, tmID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"year, date, oppID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"year, tmID, oppID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"month, date, tmID, oppID, R/P, IDgoalie1",1.0000,1.0000,0.0000
"month, date, tmID, oppID, R/P, IDgoalie2",1.0000,1.0000,0.0010
"month, date, tmID, oppID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"month, date, tmID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"month, date, oppID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"month, tmID, oppID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"date, tmID, oppID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"year, month, date, tmID, oppID, R/P, IDgoalie1",1.0000,1.0000,0.0010
"year, month, date, tmID, oppID, R/P, IDgoalie2",1.0000,1.0000,0.0009
"year, month, date, tmID, oppID, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0020
"year, month, date, tmID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"year, month, date, oppID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0000
"year, month, tmID, oppID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"year, date, tmID, oppID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"month, date, tmID, oppID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
"year, month, date, tmID, oppID, R/P, IDgoalie1, IDgoalie2",1.0000,1.0000,0.0010
