Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
"tmIDLoser, GoalsWinner, note",0.9856,0.0709,0.0020
"tmIDLoser, GoalsLoser, note",0.9712,0.0709,0.0020
"round, series, lgIDWinner",0.1118,0.8882,0.0020
"round, series, lgIDLoser",0.1118,0.8882,0.0020
"round, series, GoalsWinner",0.4675,0.8882,0.0030
"round, series, GoalsLoser",0.5252,0.8882,0.0020
"round, series, note",0.9651,0.0349,0.0010
"round, lgIDWinner, lgIDLoser",0.0036,1.0000,0.0040
"round, lgIDWinner, GoalsWinner",0.1310,1.0000,0.0020
"round, lgIDWinner, GoalsLoser",0.1238,1.0000,0.0030
"round, lgIDWinner, note",0.9339,0.0709,0.0020
"round, lgIDLoser, GoalsWinner",0.1334,1.0000,0.0030
"round, lgIDLoser, GoalsLoser",0.1274,1.0000,0.0030
"round, lgIDLoser, note",0.9339,0.0709,0.0020
"round, GoalsWinner, GoalsLoser",0.6947,1.0000,0.0020
"round, GoalsWinner, note",0.9411,0.0709,0.0020
"round, GoalsLoser, note",0.9423,0.0709,0.0020
"series, lgIDWinner, lgIDLoser",0.1118,0.8882,0.0020
"series, lgIDWinner, GoalsWinner",0.2212,0.8882,0.0030
"series, lgIDWinner, GoalsLoser",0.2344,0.8882,0.0020
"series, lgIDWinner, note",0.9651,0.0349,0.0020
"series, lgIDLoser, GoalsWinner",0.2212,0.8882,0.0030
"series, lgIDLoser, GoalsLoser",0.2344,0.8882,0.0020
"series, lgIDLoser, note",0.9651,0.0349,0.0010
"series, GoalsWinner, GoalsLoser",0.7849,0.8882,0.0020
"series, GoalsWinner, note",0.9760,0.0349,0.0020
"series, GoalsLoser, note",0.9736,0.0349,0.0020
"lgIDWinner, lgIDLoser, GoalsWinner",0.0493,1.0000,0.0020
"lgIDWinner, lgIDLoser, GoalsLoser",0.0457,1.0000,0.0020
"lgIDWinner, lgIDLoser, note",0.9339,0.0709,0.0020
"lgIDWinner, GoalsWinner, GoalsLoser",0.2332,1.0000,0.0020
"lgIDWinner, GoalsWinner, note",0.9447,0.0709,0.0020
"lgIDWinner, GoalsLoser, note",0.9423,0.0709,0.0020
"lgIDLoser, GoalsWinner, GoalsLoser",0.2356,1.0000,0.0020
"lgIDLoser, GoalsWinner, note",0.9447,0.0709,0.0020
"lgIDLoser, GoalsLoser, note",0.9423,0.0709,0.0020
"GoalsWinner, GoalsLoser, note",0.9519,0.0709,0.0020
"year, tmIDWinner, tmIDLoser, round",1.0000,1.0000,0.0030
"year, tmIDWinner, tmIDLoser, series",1.0000,0.8882,0.0030
"year, tmIDWinner, tmIDLoser, lgIDWinner",1.0000,1.0000,0.0030
"year, tmIDWinner, tmIDLoser, lgIDLoser",1.0000,1.0000,0.0030
"year, tmIDWinner, tmIDLoser, GoalsWinner",1.0000,1.0000,0.0020
"year, tmIDWinner, tmIDLoser, GoalsLoser",1.0000,1.0000,0.0020
"year, tmIDWinner, tmIDLoser, note",1.0000,0.0709,0.0020
"year, tmIDWinner, round, series",1.0000,0.8882,0.0030
"year, tmIDWinner, round, lgIDWinner",1.0000,1.0000,0.0030
"year, tmIDWinner, round, lgIDLoser",1.0000,1.0000,0.0030
"year, tmIDWinner, round, GoalsWinner",1.0000,1.0000,0.0020
"year, tmIDWinner, round, GoalsLoser",1.0000,1.0000,0.0030
"year, tmIDWinner, round, note",1.0000,0.0709,0.0020
"year, tmIDWinner, series, lgIDWinner",1.0000,0.8882,0.0030
"year, tmIDWinner, series, lgIDLoser",1.0000,0.8882,0.0030
"year, tmIDWinner, series, GoalsWinner",1.0000,0.8882,0.0030
"year, tmIDWinner, series, GoalsLoser",1.0000,0.8882,0.0030
"year, tmIDWinner, series, note",1.0000,0.0349,0.0010
"year, tmIDWinner, lgIDWinner, lgIDLoser",0.3089,1.0000,0.0030
"year, tmIDWinner, lgIDWinner, GoalsWinner",0.9219,1.0000,0.0030
"year, tmIDWinner, lgIDWinner, GoalsLoser",0.9327,1.0000,0.0030
"year, tmIDWinner, lgIDWinner, note",0.9688,0.0709,0.0020
"year, tmIDWinner, lgIDLoser, GoalsWinner",0.9267,1.0000,0.0030
"year, tmIDWinner, lgIDLoser, GoalsLoser",0.9327,1.0000,0.0030
"year, tmIDWinner, lgIDLoser, note",0.9712,0.0709,0.0020
"year, tmIDWinner, GoalsWinner, GoalsLoser",0.9952,1.0000,0.0020
"year, tmIDWinner, GoalsWinner, note",0.9976,0.0709,0.0010
"year, tmIDWinner, GoalsLoser, note",0.9976,0.0709,0.0020
"year, tmIDLoser, round, series",1.0000,0.8882,0.0030
"year, tmIDLoser, round, lgIDWinner",1.0000,1.0000,0.0030
"year, tmIDLoser, round, lgIDLoser",1.0000,1.0000,0.0030
"year, tmIDLoser, round, GoalsWinner",1.0000,1.0000,0.0030
"year, tmIDLoser, round, GoalsLoser",1.0000,1.0000,0.0030
"year, tmIDLoser, round, note",1.0000,0.0709,0.0020
"year, tmIDLoser, series, lgIDWinner",1.0000,0.8882,0.0040
"year, tmIDLoser, series, lgIDLoser",1.0000,0.8882,0.0030
"year, tmIDLoser, series, GoalsWinner",1.0000,0.8882,0.0030
"year, tmIDLoser, series, GoalsLoser",1.0000,0.8882,0.0030
"year, tmIDLoser, series, note",1.0000,0.0349,0.0020
"year, tmIDLoser, lgIDWinner, lgIDLoser",0.9952,1.0000,0.0030
"year, tmIDLoser, lgIDWinner, GoalsWinner",1.0000,1.0000,0.0030
"year, tmIDLoser, lgIDWinner, GoalsLoser",1.0000,1.0000,0.0030
"year, tmIDLoser, lgIDWinner, note",1.0000,0.0709,0.0020
"year, tmIDLoser, lgIDLoser, GoalsWinner",1.0000,1.0000,0.0030
"year, tmIDLoser, lgIDLoser, GoalsLoser",1.0000,1.0000,0.0030
"year, tmIDLoser, lgIDLoser, note",1.0000,0.0709,0.0020
"year, tmIDLoser, GoalsWinner, GoalsLoser",1.0000,1.0000,0.0020
"year, tmIDLoser, GoalsWinner, note",1.0000,0.0709,0.0020
"year, tmIDLoser, GoalsLoser, note",1.0000,0.0709,0.0010
"year, round, series, lgIDWinner",1.0000,0.8882,0.0030
"year, round, series, lgIDLoser",1.0000,0.8882,0.0030
"year, round, series, GoalsWinner",1.0000,0.8882,0.0030
"year, round, series, GoalsLoser",1.0000,0.8882,0.0030
"year, round, series, note",1.0000,0.0349,0.0020
"year, round, lgIDWinner, lgIDLoser",0.1695,1.0000,0.0030
"year, round, lgIDWinner, GoalsWinner",0.8125,1.0000,0.0020
"year, round, lgIDWinner, GoalsLoser",0.8462,1.0000,0.0020
"year, round, lgIDWinner, note",0.9712,0.0709,0.0020
"year, round, lgIDLoser, GoalsWinner",0.8125,1.0000,0.0030
"year, round, lgIDLoser, GoalsLoser",0.8462,1.0000,0.0030
"year, round, lgIDLoser, note",0.9712,0.0709,0.0020
"year, round, GoalsWinner, GoalsLoser",0.9784,1.0000,0.0030
"year, round, GoalsWinner, note",0.9976,0.0709,0.0020
"year, round, GoalsLoser, note",0.9904,0.0709,0.0020
"year, series, lgIDWinner, lgIDLoser",1.0000,0.8882,0.0020
"year, series, lgIDWinner, GoalsWinner",1.0000,0.8882,0.0020
"year, series, lgIDWinner, GoalsLoser",1.0000,0.8882,0.0020
"year, series, lgIDWinner, note",1.0000,0.0349,0.0020
"year, series, lgIDLoser, GoalsWinner",1.0000,0.8882,0.0030
"year, series, lgIDLoser, GoalsLoser",1.0000,0.8882,0.0030
"year, series, lgIDLoser, note",1.0000,0.0349,0.0020
"year, series, GoalsWinner, GoalsLoser",1.0000,0.8882,0.0020
"year, series, GoalsWinner, note",1.0000,0.0349,0.0020
"year, series, GoalsLoser, note",1.0000,0.0349,0.0020
"year, lgIDWinner, lgIDLoser, GoalsWinner",0.5877,1.0000,0.0030
"year, lgIDWinner, lgIDLoser, GoalsLoser",0.6274,1.0000,0.0030
"year, lgIDWinner, lgIDLoser, note",0.9555,0.0709,0.0020
"year, lgIDWinner, GoalsWinner, GoalsLoser",0.9591,1.0000,0.0030
"year, lgIDWinner, GoalsWinner, note",0.9976,0.0709,0.0020
"year, lgIDWinner, GoalsLoser, note",0.9916,0.0709,0.0010
"year, lgIDLoser, GoalsWinner, GoalsLoser",0.9591,1.0000,0.0030
"year, lgIDLoser, GoalsWinner, note",0.9976,0.0709,0.0020
"year, lgIDLoser, GoalsLoser, note",0.9892,0.0709,0.0020
"year, GoalsWinner, GoalsLoser, note",1.0000,0.0709,0.0020
"tmIDWinner, tmIDLoser, round, series",0.7115,0.8882,0.0030
"tmIDWinner, tmIDLoser, round, lgIDWinner",0.5601,1.0000,0.0030
"tmIDWinner, tmIDLoser, round, lgIDLoser",0.5601,1.0000,0.0030
"tmIDWinner, tmIDLoser, round, GoalsWinner",0.9519,1.0000,0.0030
"tmIDWinner, tmIDLoser, round, GoalsLoser",0.9651,1.0000,0.0030
"tmIDWinner, tmIDLoser, round, note",0.9892,0.0709,0.0020
"tmIDWinner, tmIDLoser, series, lgIDWinner",0.6587,0.8882,0.0030
"tmIDWinner, tmIDLoser, series, lgIDLoser",0.6587,0.8882,0.0030
"tmIDWinner, tmIDLoser, series, GoalsWinner",0.9688,0.8882,0.0030
"tmIDWinner, tmIDLoser, series, GoalsLoser",0.9880,0.8882,0.0030
"tmIDWinner, tmIDLoser, series, note",0.9976,0.0349,0.0010
"tmIDWinner, tmIDLoser, lgIDWinner, lgIDLoser",0.2921,1.0000,0.0030
"tmIDWinner, tmIDLoser, lgIDWinner, GoalsWinner",0.8726,1.0000,0.0030
"tmIDWinner, tmIDLoser, lgIDWinner, GoalsLoser",0.8966,1.0000,0.0030
"tmIDWinner, tmIDLoser, lgIDWinner, note",0.9820,0.0709,0.0020
"tmIDWinner, tmIDLoser, lgIDLoser, GoalsWinner",0.8726,1.0000,0.0040
"tmIDWinner, tmIDLoser, lgIDLoser, GoalsLoser",0.8966,1.0000,0.0030
"tmIDWinner, tmIDLoser, lgIDLoser, note",0.9820,0.0709,0.0020
"tmIDWinner, tmIDLoser, GoalsWinner, GoalsLoser",0.9904,1.0000,0.0030
"tmIDWinner, tmIDLoser, GoalsWinner, note",0.9976,0.0709,0.0020
"tmIDWinner, tmIDLoser, GoalsLoser, note",0.9928,0.0709,0.0020
"tmIDWinner, round, series, lgIDWinner",0.3233,0.8882,0.0030
"tmIDWinner, round, series, lgIDLoser",0.3233,0.8882,0.0030
"tmIDWinner, round, series, GoalsWinner",0.8786,0.8882,0.0030
